ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
2607:5300:203:1797::53,,16276,OVH SAS,CA,,,,true,0.89,2020-08-05T11:00:34Z,2020-07-15T09:26:35Z
199.255.137.34,,31863,DACEN-2,US,,dnsmasq-pi-hole-2.81,,false,1.00,2020-07-15T09:33:33Z,2020-07-15T09:33:33Z
82.146.26.2,hst-26-2.medicom.bg.,31435,Medicom Bulgaria Ood,BG,Sofia,,,true,1.00,2020-07-15T19:01:47Z,2020-07-15T19:01:47Z
94.236.218.254,254.218.236.94-optic-com.eu.,41946,Petros Ltd.,BG,Sofia,,,true,1.00,2020-07-16T12:41:01Z,2020-07-15T20:48:36Z
2001:470:2351::1,,6939,HURRICANE,HU,,,,true,1.00,2020-07-16T12:41:01Z,2020-07-15T20:48:53Z
2001:470:1f1a:78e::2,tunnel516963-pt.tunnel.tserv1.bud1.ipv6.he.net.,6939,HURRICANE,US,,,,true,1.00,2020-07-15T21:29:38Z,2020-07-15T21:29:38Z
103.209.52.250,,136174,The Professional Communications Pvt Ltd,PK,Islamabad,9.9.4-RedHat-9.9.4-72.el7,,true,0.93,2020-11-17T18:06:32Z,2020-07-16T13:28:38Z
8.8.8.8,dns.google.,15169,GOOGLE,US,Lake Saint Louis,,,true,1.00,2020-09-21T17:50:05Z,2020-07-16T14:19:04Z
8.8.4.4,dns.google.,15169,GOOGLE,US,,,,true,1.00,2020-11-17T18:07:26Z,2020-07-16T14:19:14Z
151.80.222.79,opennic.i2pd.xyz.,16276,OVH SAS,FR,Roubaix,none,,false,0.49,2020-10-20T11:23:35Z,2020-07-16T15:00:49Z
109.205.112.9,ns1.scopesky.com.,50597,ScopeSky Communication and Internet Ltd.,IQ,Baghdad,,,false,1.00,2020-11-17T18:06:45Z,2020-07-17T16:11:08Z
200.11.52.202,ficus.ulima.edu.pe.,6147,Telefonica del Peru S.A.A.,PE,,Microsoft DNS 6.0.6002 (17724836),,false,0.99,2020-11-17T18:08:04Z,2020-07-17T20:10:24Z
177.91.255.10,ns1.cvperu.pe.,263224,EMPRESA DE TELECOMUNICACIONES MULTIMEDIA ALFA,PE,Lima,9.11.13-RedHat-9.11.13-6.el8_2.1,,true,1.00,2020-11-11T18:08:30Z,2020-07-17T20:12:02Z
200.62.147.66,,12252,America Movil Peru S.A.C.,PE,Callao,,,false,0.98,2020-09-21T22:51:32Z,2020-07-17T20:12:18Z
46.182.19.48,dns2.digitalcourage.de.,43847,NbIServ,DE,,,,true,0.95,2020-09-15T12:50:08Z,2020-07-17T22:16:34Z
